State,NAICS Code,NAICS Description,Total Employment
Massachusetts,56,Administrative and Support and Waste Management and Remediation Services,200626.0
Massachusetts,61,Educational Services,219163.0
Massachusetts,62,Health Care and Social Assistance,644071.0
Massachusetts,71,"Arts, Entertainment, and Recreation",60235.0
Massachusetts,72,Accommodation and Food Services,300348.0
Massachusetts,81,Other Services (except Public Administration),127224.0
Massachusetts,99,Industries not classified,930.0
Michigan,--,Total,3805578.0
Michigan,11,"Agriculture, Forestry, Fishing and Hunting",3876.0
Michigan,21,"Mining, Quarrying, and Oil and Gas Extraction",4843.0
Michigan,22,Utilities,22024.0
Michigan,23,Construction,138920.0
Michigan,31-33,Manufacturing,579509.0
Michigan,42,Wholesale Trade,180432.0
Michigan,44-45,Retail Trade,470993.0
Michigan,48-49,Transportation and Warehousing,114357.0
Michigan,51,Information,65937.0
Michigan,52,Finance and Insurance,160029.0
Michigan,53,Real Estate and Rental and Leasing,51699.0
Michigan,54,"Professional, Scientific, and Technical Services",266869.0
Michigan,55,Management of Companies and Enterprises,125266.0
Michigan,56,Administrative and Support and Waste Management and Remediation Services,337870.0
Michigan,61,Educational Services,72796.0
Michigan,62,Health Care and Social Assistance,615103.0
Michigan,71,"Arts, Entertainment, and Recreation",48434.0
Michigan,72,Accommodation and Food Services,385880.0
Michigan,81,Other Services (except Public Administration),159612.0
Michigan,99,Industries not classified,1129.0
Minnesota,--,Total,2661627.0
Minnesota,11,"Agriculture, Forestry, Fishing and Hunting",2686.0
Minnesota,21,"Mining, Quarrying, and Oil and Gas Extraction",5684.0
Minnesota,22,Utilities,13662.0
Minnesota,23,Construction,118033.0
Minnesota,31-33,Manufacturing,305782.0
Minnesota,42,Wholesale Trade,138136.0
Minnesota,44-45,Retail Trade,307266.0
Minnesota,48-49,Transportation and Warehousing,83446.0
Minnesota,51,Information,58844.0
Minnesota,52,Finance and Insurance,163505.0
Minnesota,53,Real Estate and Rental and Leasing,39639.0
Minnesota,54,"Professional, Scientific, and Technical Services",183069.0
Minnesota,55,Management of Companies and Enterprises,132894.0
