NAICS Code,NAICS Description,Total Employment,State
55,Management of companies and enterprises,46811.0,Indiana
56,Administrative and support and waste management and remediation services,149704.0,Indiana
61,Educational services,59519.0,Indiana
62,Health care and social assistance,381999.0,Indiana
71,"Arts, entertainment, and recreation",35292.0,Indiana
72,Accommodation and food services,250379.0,Indiana
81,Other services (except public administration),124678.0,Indiana
99,Industries not classified,231.0,Indiana
--,Total,1283769.0,Iowa
11,"Agriculture, forestry, fishing and hunting",1795.0,Iowa
21,"Mining, quarrying, and oil and gas extraction",1901.0,Iowa
22,Utilities,0.0,Iowa
23,Construction,59574.0,Iowa
31-33,Manufacturing,203998.0,Iowa
42,Wholesale trade,65820.0,Iowa
44-45,Retail trade,177640.0,Iowa
48-49,Transportation and warehousing,56219.0,Iowa
51,Information,34225.0,Iowa
52,Finance and insurance,93462.0,Iowa
53,Real estate and rental and leasing,14747.0,Iowa
54,"Professional, scientific, and technical services",47310.0,Iowa
55,Management of companies and enterprises,19793.0,Iowa
56,Administrative and support and waste management and remediation services,68468.0,Iowa
61,Educational services,38339.0,Iowa
62,Health care and social assistance,205387.0,Iowa
71,"Arts, entertainment, and recreation",21696.0,Iowa
72,Accommodation and food services,113745.0,Iowa
81,Other services (except public administration),52095.0,Iowa
99,Industries not classified,83.0,Iowa
--,Total,1146263.0,Kansas
11,"Agriculture, forestry, fishing and hunting",704.0,Kansas
21,"Mining, quarrying, and oil and gas extraction",9419.0,Kansas
22,Utilities,7391.0,Kansas
23,Construction,61554.0,Kansas
31-33,Manufacturing,167416.0,Kansas
42,Wholesale trade,60722.0,Kansas
44-45,Retail trade,147288.0,Kansas
48-49,Transportation and warehousing,45845.0,Kansas
51,Information,48005.0,Kansas
52,Finance and insurance,60227.0,Kansas
53,Real estate and rental and leasing,14524.0,Kansas
54,"Professional, scientific, and technical services",60099.0,Kansas
55,Management of companies and enterprises,21255.0,Kansas
56,Administrative and support and waste management and remediation services,64671.0,Kansas
61,Educational services,18798.0,Kansas
62,Health care and social assistance,185280.0,Kansas
71,"Arts, entertainment, and recreation",14397.0,Kansas
72,Accommodation and food services,105794.0,Kansas
81,Other services (except public administration),52772.0,Kansas
99,Industries not classified,102.0,Kansas
--,Total,1486545.0,Kentucky
11,"Agriculture, forestry, fishing and hunting",1674.0,Kentucky
21,"Mining, quarrying, and oil and gas extraction",22690.0,Kentucky
22,Utilities,8167.0,Kentucky
23,Construction,70840.0,Kentucky
31-33,Manufacturing,214746.0,Kentucky
42,Wholesale trade,71819.0,Kentucky
44-45,Retail trade,222354.0,Kentucky
48-49,Transportation and warehousing,83900.0,Kentucky
51,Information,33469.0,Kentucky
52,Finance and insurance,68613.0,Kentucky
53,Real estate and rental and leasing,18447.0,Kentucky
54,"Professional, scientific, and technical services",64883.0,Kentucky
55,Management of companies and enterprises,24939.0,Kentucky
56,Administrative and support and waste management and remediation services,76781.0,Kentucky
61,Educational services,27631.0,Kentucky
62,Health care and social assistance,238447.0,Kentucky
71,"Arts, entertainment, and recreation",17580.0,Kentucky
72,Accommodation and food services,153398.0,Kentucky
81,Other services (except public administration),66010.0,Kentucky
99,Industries not classified,0.0,Kentucky
--,Total,1639104.0,Louisiana
11,"Agriculture, forestry, fishing and hunting",3891.0,Louisiana
21,"Mining, quarrying, and oil and gas extraction",50500.0,Louisiana
22,Utilities,0.0,Louisiana
23,Construction,133424.0,Louisiana
31-33,Manufacturing,134803.0,Louisiana
42,Wholesale trade,77035.0,Louisiana
44-45,Retail trade,229875.0,Louisiana
48-49,Transportation and warehousing,67933.0,Louisiana
51,Information,28017.0,Louisiana
52,Finance and insurance,64200.0,Louisiana
53,Real estate and rental and leasing,30576.0,Louisiana
54,"Professional, scientific, and technical services",89774.0,Louisiana
55,Management of companies and enterprises,17729.0,Louisiana
56,Administrative and support and waste management and remediation services,105814.0,Louisiana
61,Educational services,33174.0,Louisiana
62,Health care and social assistance,276553.0,Louisiana
71,"Arts, entertainment, and recreation",24608.0,Louisiana
72,Accommodation and food services,183712.0,Louisiana
81,Other services (except public administration),75673.0,Louisiana
99,Industries not classified,138.0,Louisiana
--,Total,488932.0,Maine
