NAICS Code,Total Employment - 2007,State
51,33053,South Carolina
52,67432,South Carolina
53,29577,South Carolina
54,78248,South Carolina
55,24446,South Carolina
56,140967,South Carolina
61,28639,South Carolina
62,199552,South Carolina
71,25002,South Carolina
72,185368,South Carolina
81,80742,South Carolina
99,130,South Carolina
--,330169,South Dakota
11,495,South Dakota
21,1169,South Dakota
22,2041,South Dakota
23,19091,South Dakota
31-33,41645,South Dakota
42,15504,South Dakota
44-45,51403,South Dakota
48-49,9019,South Dakota
51,7212,South Dakota
52,29730,South Dakota
53,3911,South Dakota
54,10677,South Dakota
55,4580,South Dakota
56,11269,South Dakota
61,7410,South Dakota
62,57998,South Dakota
71,6637,South Dakota
72,35701,South Dakota
81,14652,South Dakota
99,0,South Dakota
--,2475512,Tennessee
11,1325,Tennessee
21,4357,Tennessee
22,3196,Tennessee
23,129364,Tennessee
31-33,376189,Tennessee
42,123146,Tennessee
44-45,325632,Tennessee
48-49,118101,Tennessee
51,51295,Tennessee
52,116043,Tennessee
53,38164,Tennessee
54,116485,Tennessee
55,82961,Tennessee
56,194522,Tennessee
61,51035,Tennessee
62,353358,Tennessee
71,32683,Tennessee
72,241911,Tennessee
81,115575,Tennessee
99,170,Tennessee
--,9041030,Texas
11,7872,Texas
21,214750,Texas
22,42129,Texas
23,602317,Texas
31-33,850710,Texas
42,466736,Texas
44-45,1156454,Texas
48-49,370015,Texas
51,258165,Texas
52,459303,Texas
53,174883,Texas
54,592793,Texas
55,245337,Texas
56,914205,Texas
61,135770,Texas
62,1150715,Texas
71,111047,Texas
72,869015,Texas
81,417758,Texas
99,1056,Texas
--,1102821,Utah
11,406,Utah
21,11302,Utah
22,4571,Utah
23,91830,Utah
31-33,122910,Utah
42,50059,Utah
44-45,142384,Utah
48-49,48456,Utah
51,38056,Utah
52,59593,Utah
53,19500,Utah
54,74596,Utah
55,19823,Utah
56,110369,Utah
61,34130,Utah
62,113901,Utah
71,18668,Utah
72,93697,Utah
81,48470,Utah
99,100,Utah
--,268086,Vermont
11,458,Vermont
21,0,Vermont
22,1945,Vermont
23,16073,Vermont
31-33,35887,Vermont
42,10924,Vermont
44-45,40576,Vermont
48-49,6169,Vermont
51,5703,Vermont
52,9901,Vermont
53,3411,Vermont
54,17152,Vermont
55,3347,Vermont
56,7884,Vermont
61,13837,Vermont
62,47558,Vermont
71,7351,Vermont
72,29824,Vermont
81,9362,Vermont
99,29,Vermont
--,3196914,Virginia
11,4128,Virginia
21,10262,Virginia
22,16071,Virginia
23,228059,Virginia
31-33,278806,Virginia
42,116209,Virginia
44-45,440405,Virginia
48-49,102380,Virginia
51,109414,Virginia
52,167474,Virginia
53,59625,Virginia
54,403254,Virginia
55,64857,Virginia
56,238901,Virginia
61,62859,Virginia
62,372822,Virginia
71,50539,Virginia
72,303596,Virginia
81,167070,Virginia
99,0,Virginia
--,2501684,Washington
11,13432,Washington
21,4488,Washington
22,7281,Washington
23,198699,Washington
31-33,254034,Washington
42,129132,Washington
44-45,327798,Washington
48-49,89716,Washington
51,112428,Washington
52,119547,Washington
53,52389,Washington
54,165323,Washington
55,78860,Washington
56,152003,Washington
61,47653,Washington
62,342644,Washington
71,57200,Washington
72,236709,Washington
81,112080,Washington
99,268,Washington
--,581023,West Virginia
11,1163,West Virginia
21,27865,West Virginia
22,6501,West Virginia
23,31879,West Virginia
31-33,61573,West Virginia
42,20269,West Virginia
44-45,94739,West Virginia
48-49,16464,West Virginia
51,10503,West Virginia
52,20927,West Virginia
53,6911,West Virginia
54,22869,West Virginia
55,4551,West Virginia
56,32436,West Virginia
61,8184,West Virginia
62,114817,West Virginia
71,10690,West Virginia
72,61812,West Virginia
81,26848,West Virginia
99,22,West Virginia
--,2484051,Wisconsin
11,3372,Wisconsin
21,3280,Wisconsin
22,13096,Wisconsin
23,117145,Wisconsin
31-33,485103,Wisconsin
42,114250,Wisconsin
44-45,322428,Wisconsin
48-49,102802,Wisconsin
51,53776,Wisconsin
52,141296,Wisconsin
53,27226,Wisconsin
54,101384,Wisconsin
55,67260,Wisconsin
56,138478,Wisconsin
61,50637,Wisconsin
62,362334,Wisconsin
71,37903,Wisconsin
72,226210,Wisconsin
81,115955,Wisconsin
99,0,Wisconsin
--,215615,Wyoming
11,253,Wyoming
21,26984,Wyoming
22,2153,Wyoming
23,20094,Wyoming
31-33,11719,Wyoming
42,7851,Wyoming
44-45,33066,Wyoming
48-49,8766,Wyoming
51,4311,Wyoming
52,6839,Wyoming
53,4428,Wyoming
54,9188,Wyoming
55,1635,Wyoming
56,7890,Wyoming
61,1489,Wyoming
62,29400,Wyoming
71,3988,Wyoming
72,26437,Wyoming
81,9056,Wyoming
99,0,Wyoming
